ell Cl Dl
0 7.801470521737272179e+00 0.000000000000000000e+00
1 6.348329463957752772e+00 2.020736029129597267e+00
2 1.884767601878287735e+02 1.799820482510321824e+02
3 3.470434567569152478e+02 6.628041793267378807e+02
4 2.103388197201735750e+02 6.695292576516131930e+02
5 2.316711650665225761e+02 1.106148332765864780e+03
6 7.815299921822683871e+01 5.224143180075890314e+02
7 8.954240799119911287e+01 7.980625434964319993e+02
8 5.769035191594429790e+01 6.610827366816141648e+02
9 5.461353368277735143e+01 7.822812460796765208e+02
10 3.928209307578848097e+01 6.877133216808416591e+02
11 5.612530178868784958e+01 1.179105736009616749e+03
12 2.835144182783858469e+01 7.039144492665216148e+02
13 2.288153451895643897e+01 6.627910970079947219e+02
14 2.752427370015762520e+01 9.199310850228110894e+02
15 2.237852297191453133e+01 8.547966120181750966e+02
16 1.657284897720245098e+01 7.174410273477270721e+02
17 2.398291642416023706e+01 1.168001907791460781e+03
18 1.315236157263174555e+01 7.158960683047529301e+02
19 1.690458833222753299e+01 1.022370541722884582e+03
20 1.185284448923327361e+01 7.923042918676229647e+02
21 1.049510551692839755e+01 7.717007396360612574e+02
22 7.490238249887696043e+00 6.032068718572406851e+02
23 8.897358657566126539e+00 7.816643531688417852e+02
24 9.632900215421562606e+00 9.198742113571951222e+02
25 8.268043842259883647e+00 8.553350306775089393e+02
26 7.499024648024979811e+00 8.378418024529975128e+02
27 7.895894467172059450e+00 9.500429997442796548e+02
28 9.231551205345164490e+00 1.193028569470141520e+03
29 7.423221712847712261e+00 1.027854913462115519e+03
30 7.000691044135549213e+00 1.036200963802001297e+03
31 6.824120033278262554e+00 1.077403696064275437e+03
32 8.498448719545065089e+00 1.428314049178986579e+03
33 6.073335878247573483e+00 1.084526800062274788e+03
34 5.818490542503906404e+00 1.101989422095799000e+03
35 4.688711901126329629e+00 9.402519115055473549e+02
36 5.473350865693871192e+00 1.160319646274576826e+03
37 6.268891566379060087e+00 1.402801463177828737e+03
38 5.530941807914474317e+00 1.304570111908521540e+03
39 5.150653870284105373e+00 1.278813156833342873e+03
40 7.335630697048789450e+00 1.914703093256415514e+03
41 4.516643187597206399e+00 1.237852966099076639e+03
42 4.419426142887391329e+00 1.270292570383759539e+03
43 4.705746229469332853e+00 1.416999727189727537e+03
44 4.218975955346681239e+00 1.329512338596966174e+03
45 2.839059606731021645e+00 9.353302661976132413e+02
46 3.188381347573711277e+00 1.097099661469102557e+03
47 4.862592889013733100e+00 1.745931246859760449e+03
48 3.092851278747208443e+00 1.157754522901184600e+03
49 4.089491601063136805e+00 1.594613867452869272e+03
50 3.473672097442151330e+00 1.409772816720191258e+03
51 2.668758411456443103e+00 1.126426638904825950e+03
52 3.747831268470633415e+00 1.643915063925050163e+03
53 2.391807241147049012e+00 1.089471659596112659e+03
54 2.476054589443876797e+00 1.170406692007838501e+03
55 3.200647435721957201e+00 1.568948490307810289e+03
56 3.355622678772048229e+00 1.704732085237261117e+03
57 3.071446516778020719e+00 1.616091470812625630e+03
58 3.414516551097856567e+00 1.859642055201746871e+03
59 2.272147780486009960e+00 1.280147369476680296e+03
60 3.132138275098820923e+00 1.824492757481238414e+03
61 2.737312119816194045e+00 1.647653846101812860e+03
62 3.142586228915739355e+00 1.953617665249934817e+03
63 2.800115304292294827e+00 1.796869637762514003e+03
64 2.231744020209487367e+00 1.477603264933613673e+03
65 2.290327690236504399e+00 1.563777815033932711e+03
66 2.214614345093742998e+00 1.558608278322520619e+03
67 2.442540572811527699e+00 1.771110401123054544e+03
68 2.311332581719522938e+00 1.725999145852986658e+03
69 2.798988697298347095e+00 2.151634043405209468e+03
70 2.309233022400317470e+00 1.826603475822258588e+03
71 2.139701048778530623e+00 1.740860921109104765e+03
72 1.950435995537040723e+00 1.631575561018174767e+03
73 3.110351294464579475e+00 2.674140085204623574e+03
74 2.448551129882529320e+00 2.162829537323977547e+03
75 2.165650209448770180e+00 1.964641434298090417e+03
76 1.976912754381803916e+00 1.841246576863319433e+03
77 2.157102448732984623e+00 2.061940985933746560e+03
78 1.898294371229361399e+00 1.861681510833242783e+03
79 1.768089432461992905e+00 1.778449093390778444e+03
80 2.203037812637365089e+00 2.272045837893365388e+03
81 2.077574981615500249e+00 2.196219330364521738e+03
82 2.465014954812388304e+00 2.670125256895212260e+03
83 1.759605972525264628e+00 1.952508519274123955e+03
84 1.750191847014747504e+00 1.988859022414333594e+03
85 2.059925682049108975e+00 2.396564162857435804e+03
86 2.104485263453200528e+00 2.506015336387531534e+03
87 2.047919554677581466e+00 2.495369998509488596e+03
88 1.513305179806181400e+00 1.886337198219968514e+03
89 1.940826824049953547e+00 2.474226383690483544e+03
90 1.874331951808046792e+00 2.443152308076459121e+03
91 1.983792464151218127e+00 2.643294714051523442e+03
92 1.894213188299039619e+00 2.579406343557544460e+03
93 1.974585569536148277e+00 2.747305101627433032e+03
