Name,Observed Wavelength of H-alpha,Apparent Mag,RA J2000.0,Dec J2000.0
PGC1664006,6581.251998583331,12.465970375272015,11 32 06.6,+22 07 31
PGC1620526,6602.969898963796,13.975112116376653,11 35 54.4,+20 13 20
PGC1597887,6588.2646159000005,13.767742566767794,11 39 08.9,+19 35 00
UGC06670,6592.5896230859025,12.93207685020068,11 42 29.4,+18 19 59
PGC1519757,6591.906246556143,11.19524532765935,11 44 40.7,+16 53 59
UGC06747,6585.828745443946,14.57731671782686,11 46 24.0,+13 49 38
EVCC2007,6584.594835442493,14.864836547642145,11 46 26.5,+19 30 12
AGC219628,6571.730716866126,14.97653305559881,11 47 14.0,+18 40 28
SDSSJ114717.56+162004.5,6595.608952612841,14.401398957674004,11 47 17.5,+16 20 05
PGC2806928,6595.929039328354,13.679207428007427,11 48 16.4,+18 38 33
SDSSJ114843.14+171053.1,6602.705370154461,12.950977920263767,11 48 43.1,+17 10 53
AGC219539,6566.956944219181,13.343851909445497,11 48 45.0,+16 44 23
DDO097,6577.054485069261,13.203887229311157,11 48 57.4,+23 50 16
PGC1528400,6583.442830232735,12.085727042744558,11 49 05.6,+17 15 20
AGC219541,6582.637323785243,13.39363513524566,11 49 21.7,+17 17 24
SDSSJ114931.03+151539.7,6602.064096846617,12.383038672644446,11 49 31.0,+15 15 40
SDSSJ114957.11+161743.6,6597.567039123256,12.05498389037767,11 49 57.1,+16 17 44
PGC036976,6578.972765529546,14.167787197565296,11 50 02.7,+15 01 24
PGC037048,6580.120354621646,15.21735721698169,11 50 55.9,+14 35 42
KIG0506,6595.868318084567,14.198550621546616,11 52 01.9,+13 52 44
SDSSJ115220.20+152736.2,6584.239017470941,12.63896321484999,11 52 20.2,+15 27 36
SDSSJ115300.30+160229.4,6588.773383159031,14.934928934399046,11 53 00.3,+16 02 30
KK111,6617.28632165453,13.286014333740205,11 54 01.6,+16 43 23
AGC215145,6590.726549782967,13.545558304287187,11 54 12.5,+12 26 06
UGC06881,6566.52622481476,14.10993487907082,11 54 44.9,+20 03 23
NGC3976,6569.633969753825,14.090487699118654,11 55 57.4,+06 44 59
PGC037490,6579.649444920159,14.601514886349293,11 56 02.5,+06 40 41
AGC215716,6574.0393193614855,10.564291163275325,11 57 07.2,+06 40 32
PGC1488625,6601.342440412781,13.312655761254682,11 58 40.4,+15 35 34
AGC213178,6573.986344589788,14.714998059316592,11 59 00.7,+04 40 11
